instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
C203,HGLS,3,"(1.0, 1.0, 1.0)",4,1056.0574457669038,300.2671283457123,780.6945336988521,0.2843284042447708,13.74829055619833,10.888113661379492,75.36359578242218,0.28109468081590266,34.50531244277954,32,
C203,HGLS,3,"(0.93, 1.0, 1.09)",3,1051.4016822502117,336.83594611298497,875.7734598937609,0.3203684679218775,23.67456384245787,47.079712553925816,29.245723603616295,0.3883280329369286,36.533600091934204,7,
C203,HGLS,3,"(0.85, 1.0, 1.18)",3,1019.8830203934949,298.68125109322983,776.5712528423976,0.2928583426930586,21.200981203531153,78.79901879646884,0.0,0.34676794325909915,30.74403977394104,10,
C206,GLS,1,"(1.0, 1.0, 1.0)",3,750.1950291266359,233.60391528633832,607.3701797444796,0.3113909133179621,32.09679169461662,0.3998960115068406,67.5033122938765,0.37130304439320655,30.590736150741577,52,
C206,GLS,1,"(0.85, 1.0, 1.18)",3,909.760344434228,274.4080533440672,713.4609386945747,0.3016267471129654,25.596836135892467,62.398133802153396,12.005030061954145,0.3559154697311614,31.345367908477783,19,
C203,HGLS,3,"(0.75, 1.0, 1.3)",3,1022.5462965610218,292.8144168475003,761.3174838035007,0.2863581021536918,19.608450526024154,80.39154947397583,0.0,0.35114688990327336,32.19775462150574,11,
C206,GLS,2,"(0.93, 1.0, 1.09)",3,861.0510085488677,263.25393365763205,684.4602275098433,0.3057355848189468,19.43472636901271,45.88812874495384,34.677144886033446,0.33870825488635786,30.991586923599243,45,
C206,GLS,2,"(1.0, 1.0, 1.0)",3,744.3343001395671,231.13355283816963,600.9472373792411,0.3105238503651259,40.24659165859525,2.7696598321779287,56.983748509226785,0.36841283455041934,32.31202697753906,40,
C206,GLS,2,"(0.75, 1.0, 1.3)",3,833.2633391161197,253.14102922084487,658.1666759741967,0.3037947517160218,13.391932184006277,53.31634983085645,33.29171798513725,0.30648349931728336,31.99540662765503,30,
C206,GLS,3,"(1.0, 1.0, 1.0)",4,949.6732277706998,279.6777414353186,727.1621277318284,0.2944989215836326,54.390405096178085,2.1708022849587962,43.43879261886313,0.3149964052787755,33.84076523780823,25,
C206,GLS,3,"(0.93, 1.0, 1.09)",4,891.4689024559905,247.99788182399496,644.7944927423869,0.2781901658496023,43.11445925178715,41.425008964404356,15.460531783808486,0.27699864221315473,33.4413378238678,20,
C206,GLS,1,"(0.93, 1.0, 1.09)",4,952.7986774101714,261.9281930123921,681.0133018322196,0.27490402665581615,85.42588759863074,12.484670956758821,2.089441444610466,0.3068451195412959,38.121044874191284,35,
C206,GLS,1,"(0.75, 1.0, 1.3)",3,872.8854594044426,265.99968514536636,691.5991813779525,0.30473607078625664,22.153625531022875,56.22012839875728,21.626246070219807,0.33137764282377286,37.82764148712158,45,
C206,GLS,3,"(0.85, 1.0, 1.18)",4,1032.8798169005872,264.1312730076029,686.7413098197675,0.25572314289206893,68.7423388693303,31.257661130669685,0.0,0.2855643171043343,33.24572396278381,35,
C206,GLS,2,"(0.85, 1.0, 1.18)",3,858.0668231276838,236.59577539972952,615.1490160392967,0.2757311773660349,43.41961405894676,52.61114114404458,3.9692447970086255,0.3104542397024545,36.99799394607544,45,
C206,GLS,3,"(0.75, 1.0, 1.3)",4,1048.5890501806134,246.44024513650166,640.7446373549043,0.23502080733539393,67.77864357848831,28.86789753506977,3.3534588864418953,0.26276513373797256,31.536157369613647,38,
C206,HGLS,1,"(0.93, 1.0, 1.09)",4,997.7830349403425,281.7750033410713,732.6150086867854,0.282401076660838,70.27246357236436,29.72753642763564,0.0,0.32494991770351,31.493480920791626,26,
